name,address,city,region,postal_code,placekey
Starbucks,803 W 181st St,New York,NY,10033,zzy-224@627-s6m-qs5
Starbucks,4001 Broadway,New York,NY,10032,227@627-s6d-v9f
Starbucks,301 W 145th St,New York,NY,10039,227-223@627-s6g-4qf
Starbucks,83 West 125th Street,New York,NY,10027,zzy-222@627-s4w-26k
Starbucks,2195 Frederick Douglas Boulevard,New York,NY,10026,22s-223@627-s4s-jn5
Starbucks,805 Columbus Avenue,New York,NY,10025,222-222@627-s4m-9j9
Starbucks,1378 Madison Avenue,New York,NY,10128,22h-222@627-s4n-qzz
Starbucks,1491 Lexington Avenue,New York,NY,10029,22k-224@627-s4n-mc5
Starbucks,1142 Madison Ave,New York,NY,10028,22k-222@627-s4m-ty9
Starbucks,1488 Third Avenue #A,New York,NY,10028,zzy-223@627-s4m-ygk
Starbucks,1128 Third Avenue,New York,NY,10065,228-222@627-s8r-jjv
Starbucks,1411 Sixth Avenue,New York,NY,10019,22m-222@627-s8r-yn5
Starbucks,1380 Sixth Avenue,New York,NY,10019,22z-222@627-s8q-xbk
Starbucks,2 Columbus Avenue,New York,NY,10023,225-222@627-s4r-2x5
Starbucks,871 8th Avenue,New York,NY,10019,22k-222@627-s8r-5vf
Starbucks,325 W 49th St,New York,NY,10019,237-222@627-s8r-73q
Starbucks,572 11th Avenue Retail Suite A,New York,NY,10036,zzy-22c@627-wbt-n89
Starbucks,593 Ninth Ave,New York,NY,10036,22p-222@627-wbv-g8v
Starbucks,600 Eighth Ave.,New York,NY,10018,222-223@627-wbv-gff
Starbucks,525 7th Avenue,New York,NY,10018,224-226@627-s8k-2hq
Starbucks,462 7th Avenue,New York,NY,10018,22b-223@627-s8k-3qz
Starbucks,776 Avenue of the Americas,New York,NY,10001,229-225@627-s8h-y5f
Starbucks,1140 Broadway,New York,NY,10010,22f-223@627-s8h-yd9
Starbucks,684 Avenue of the Americas,New York,NY,10010,227-222@627-s8h-vj9
Starbucks,482 West Broadway,New York,NY,10012,224-222@627-wc7-3bk
Starbucks,80 Delancey Street,New York,NY,10002,zzw-223@627-wc7-wff
Starbucks,111 Worth Street,New York,NY,10013,zzw-222@627-wc7-73q
Starbucks,120 Church Street,New York,NY,10007,22f-223@627-wc7-jsq
Starbucks,38 Park Row #4,New York,NY,10038,22j-222@627-wbz-tsq
Starbucks,296-300 Third Avenue,New York,NY,10010,222@627-s8h-v4v
Starbucks,10 UNION SQUARE EAST,New York,NY,10003,22b-22c@627-s8j-33q
Starbucks,1 7th Avenue,New York,NY,10011,zzw-224@627-s8j-ht9
Starbucks,177 Eighth Avenue,New York,NY,10011,22d-222@627-s8j-8y9
