name,address,city,region,postal_code
Starbucks,803 W 181st St,New York,NY,10033
Starbucks,4001 Broadway,New York,NY,10032
Starbucks,301 W 145th St,New York,NY,10039
Starbucks,83 West 125th Street,New York,NY,10027
Starbucks,2195 Frederick Douglas Boulevard,New York,NY,10026
Starbucks,805 Columbus Avenue,New York,NY,10025
Starbucks,1378 Madison Avenue,New York,NY,10128
Starbucks,1491 Lexington Avenue,New York,NY,10029
Starbucks,1142 Madison Ave,New York,NY,10028
Starbucks,1488 Third Avenue #A,New York,NY,10028
Starbucks,1128 Third Avenue,New York,NY,10065
Starbucks,1411 Sixth Avenue,New York,NY,10019
Starbucks,1380 Sixth Avenue,New York,NY,10019
Starbucks,2 Columbus Avenue,New York,NY,10023
Starbucks,871 8th Avenue,New York,NY,10019
Starbucks,325 W 49th St,New York,NY,10019
Starbucks,572 11th Avenue Retail Suite A,New York,NY,10036
Starbucks,593 Ninth Ave,New York,NY,10036
Starbucks,600 Eighth Ave.,New York,NY,10018
Starbucks,525 7th Avenue,New York,NY,10018
Starbucks,462 7th Avenue,New York,NY,10018
Starbucks,776 Avenue of the Americas,New York,NY,10001
Starbucks,1140 Broadway,New York,NY,10010
Starbucks,684 Avenue of the Americas,New York,NY,10010
Starbucks,482 West Broadway,New York,NY,10012
Starbucks,80 Delancey Street,New York,NY,10002
Starbucks,111 Worth Street,New York,NY,10013
Starbucks,120 Church Street,New York,NY,10007
Starbucks,38 Park Row #4,New York,NY,10038
Starbucks,296-300 Third Avenue,New York,NY,10010
Starbucks,10 UNION SQUARE EAST,New York,NY,10003
Starbucks,1 7th Avenue,New York,NY,10011
Starbucks,177 Eighth Avenue,New York,NY,10011
